kdno,kcno,ccno,kdname,exptime,papername
1101,1,1,复旦大学,2004-06-10 8:00,
1101,1,2,复旦大学,2004-06-10 8:20,
1101,1,3,复旦大学,2004-06-10 8:40,
1101,1,4,复旦大学,2004-06-10 9:00,
1101,1,5,复旦大学,2004-06-10 9:20,
1101,1,6,复旦大学,2004-06-10 9:50,
1101,1,7,复旦大学,2004-06-10 10:10,
1101,1,8,复旦大学,2004-06-10 10:30,
1101,1,9,复旦大学,2004-06-10 10:50,
1101,1,10,复旦大学,2004-06-10 11:10,
1101,1,11,复旦大学,2004-06-10 12:00,
1101,1,12,复旦大学,2004-06-10 12:20,
1101,1,13,复旦大学,2004-06-10 12:40,
1101,1,14,复旦大学,2004-06-10 13:00,
1101,1,15,复旦大学,2004-06-10 13:20,
1101,1,16,复旦大学,2004-06-10  13:40,
1101,1,17,复旦大学,2004-06-10 14:00,
1101,1,18,复旦大学,2004-06-10 14:20,
1101,1,19,复旦大学,2004-06-10 14:40,
1101,1,20,复旦大学,2004-06-10 15:20,
1101,1,21,复旦大学,2004-06-10 15:40,
1101,1,22,复旦大学,2004-06-10 16:00,
1101,1,23,复旦大学,2004-06-10 16:20,
1101,2,1,复旦大学,2004-06-10 8:00,
1101,2,2,复旦大学,2004-06-10 8:20,
1101,2,3,复旦大学,2004-06-10 8:40,
1101,2,4,复旦大学,2004-06-10 9:00,
1101,2,5,复旦大学,2004-06-10 9:20,
1101,2,6,复旦大学,2004-06-10 9:50,
1101,2,7,复旦大学,2004-06-10 10:10,
1101,2,8,复旦大学,2004-06-10 10:30,
1101,2,9,复旦大学,2004-06-10 10:50,
1101,2,10,复旦大学,2004-06-10 11:10,
1101,2,11,复旦大学,2004-06-10 12:00,
1101,2,12,复旦大学,2004-06-10 12:20,
1101,2,13,复旦大学,2004-06-10 12:40,
1101,2,14,复旦大学,2004-06-10 13:00,
1101,2,15,复旦大学,2004-06-10 13:20,
1101,2,16,复旦大学,2004-06-10 13:40,
1101,2,17,复旦大学,2004-06-10 14:00,
1101,2,18,复旦大学,2004-06-10 14:20,
1101,2,19,复旦大学,2004-06-10 14:40,
1101,2,20,复旦大学,2004-06-10 15:20,
1101,2,21,复旦大学,2004-06-10 15:40,
1101,2,22,复旦大学,2004-06-10 16:00,
1101,2,23,复旦大学,2004-06-10 16:20,
1101,2,24,复旦大学,2004-06-10 16:40,
